# provenance: 
label,area_px,centroid_y,centroid_x,equivalent_diameter_px,eccentricity,mean_intensity,bbox_y0,bbox_x0,bbox_y1,bbox_x1,touches_edge,source
1,8,15.0,223.5,3.1915382432114616,0.5773502691896258,0.1756630392156863,14,222,17,226,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
2,5,16.0,138.0,2.5231325220201604,0.0,0.16703176470588232,15,137,18,140,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
3,19,19.210526315789473,128.94736842105263,4.918490759365935,0.8762554329560999,0.16943995872033024,17,126,22,133,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
4,8,22.0,245.5,3.1915382432114616,0.5773502691896258,0.17789480392156867,21,244,24,248,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
5,564,28.090425531914892,165.85992907801418,26.797520467958073,0.9939233385737528,0.2593292358503685,22,124,41,216,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
6,21,25.095238095238095,252.52380952380952,5.170882945826411,0.9234897328565019,0.17670944911297856,23,249,28,257,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
7,82,33.47560975609756,172.20731707317074,10.217907939900583,0.9184339586776221,0.2818121664275467,30,165,38,181,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
8,251,40.47410358565737,249.9800796812749,17.876888032555495,0.9890396610263781,0.2534098054839466,30,230,53,270,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
9,61,37.18032786885246,186.50819672131146,8.812923024107548,0.21816685270558853,0.2893194728383157,34,182,43,192,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
10,5,37.0,276.0,2.5231325220201604,0.0,0.18545247058823539,36,275,39,278,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
11,5,41.0,282.0,2.5231325220201604,0.0,0.17974831372549024,40,281,43,284,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
12,8,42.0,196.5,3.1915382432114616,0.5773502691896258,0.18303725490196068,41,195,44,199,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
13,426,60.17605633802817,77.49765258215963,23.28948359361322,0.9881934532762333,0.28970962993648164,42,52,86,108,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
14,14,43.0,204.5,4.222008245644752,0.8420753583206845,0.18796064425770304,42,202,45,208,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
15,13,44.38461538461539,142.53846153846155,4.068428945128219,0.8898489141605724,0.1909346304675717,43,140,47,146,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
16,39,49.87179487179487,136.12820512820514,7.046725639945928,0.41530014054349734,0.3127742081447963,47,133,54,140,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
17,81,60.79012345679013,284.28395061728395,10.155412503859614,0.9207562001491969,0.2151911498426531,54,278,68,292,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
18,46,76.21739130434783,290.2608695652174,7.653039857325812,0.42058480278772986,0.34077569479965897,73,287,81,295,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
19,60,79.15,159.15,8.740387444736633,0.3897992597447136,0.3122978954248366,75,155,84,164,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
20,32,79.0,304.6875,6.383076486422923,0.6727641769729737,0.23019965686274507,75,302,84,309,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
21,52,94.5,256.5,8.136857890256438,0.0,0.3079177224736048,91,253,99,261,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
22,197,107.58375634517766,325.3756345177665,15.837556323903858,0.9833030080533574,0.21357477455956994,92,315,123,336,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
23,115,105.3391304347826,37.7304347826087,12.100518486599809,0.9623792683681996,0.22467301619778346,96,31,116,46,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
24,54,115.77777777777777,100.0,8.291859587312052,0.4343161186924476,0.32575427015250547,112,96,120,105,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
25,48,137.8125,339.5416666666667,7.817640190446719,0.7414747387970234,0.2098651715686274,133,336,143,344,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
26,68,141.14705882352942,22.25,9.304852983362556,0.9430371277248457,0.2232679411764706,134,19,149,27,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
27,58,141.5,249.86206896551724,8.593479713983122,0.338404061190076,0.3208084043272481,138,246,146,255,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
28,61,142.49180327868854,159.4262295081967,8.812923024107548,0.25621380568422686,0.3081519382835101,139,155,147,164,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
29,34,160.55882352941177,346.29411764705884,6.579524642479541,0.9516239568324912,0.20060149942329877,155,344,167,349,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
30,55,159.4,86.69090909090909,8.368283871884005,0.3629858123883698,0.33097718360071304,156,83,164,92,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
31,58,159.5,180.13793103448276,8.593479713983122,0.338404061190076,0.3171246585530763,156,176,164,185,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
32,54,160.07407407407408,225.83333333333334,8.291859587312052,0.2774310472889367,0.3252265504720407,156,222,165,231,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
33,40,162.675,53.025,7.136496464611085,0.32222568890289804,0.31081712745098045,160,50,167,57,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
34,21,168.1904761904762,16.428571428571427,5.170882945826411,0.7362687989025105,0.18226705882352942,165,15,172,20,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
35,34,168.5,74.70588235294117,6.579524642479541,0.4678596948487089,0.334897474048443,166,72,172,79,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
36,50,176.96,13.36,7.978845608028654,0.41559402058734496,0.2518023058823529,173,10,182,18,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
37,52,179.23076923076923,347.9807692307692,8.136857890256438,0.9108043251857251,0.19957780542986428,173,346,186,351,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
38,43,192.02325581395348,152.58139534883722,7.399277020331919,0.39299200450093835,0.30587316917464663,189,149,196,157,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
39,55,198.63636363636363,227.83636363636364,8.368283871884005,0.35028595745577656,0.3233263172905525,195,224,203,233,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
40,613,251.99510603588908,332.14192495921696,27.93735565372383,0.993681665105046,0.240711602853213,197,301,303,351,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
41,18,201.72222222222223,16.27777777777778,4.787307364817192,0.6710530726293539,0.23485808278867099,199,15,205,19,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
42,44,214.5,18.59090909090909,7.48482063701911,0.9364240300661586,0.2305979144385026,209,16,221,22,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
43,63,222.76190476190476,325.8412698412698,8.95623198216277,0.2622586733582081,0.33166183006535965,219,322,228,331,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
44,63,228.57142857142858,229.84126984126985,8.95623198216277,0.42991631268711733,0.3385897541238718,225,226,234,235,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
45,78,236.9102564102564,24.653846153846153,9.965574970333758,0.9626511753911335,0.22426700854700848,229,20,246,30,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
46,59,232.52542372881356,35.932203389830505,8.667244841319219,0.4020479880384369,0.32748597540711205,229,32,237,41,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
47,286,276.3041958041958,46.4020979020979,19.08262324195121,0.9769888213172132,0.2813311175099411,258,32,291,62,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
48,23,269.1304347826087,59.869565217391305,5.4115163798060095,0.13490812512398598,0.2984563341858482,267,57,273,63,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
49,65,299.2,227.8923076923077,9.09728368293446,0.33280961889090044,0.3334171764705883,295,224,304,233,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
50,569,316.2829525483304,81.93497363796133,26.916041702938184,0.9538667462415864,0.2563362038664323,301,60,336,101,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
51,66,322.27272727272725,147.3181818181818,9.166995688475081,0.12629821253868992,0.36958777183600705,318,143,327,152,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
52,460,340.00652173913045,127.97826086956522,24.201036973199617,0.8868142043530596,0.30261231543052,327,113,352,145,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
53,564,345.46276595744683,222.88652482269504,26.797520467958073,0.9605998221035381,0.2585581761924628,334,201,356,248,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
54,531,349.42184557438793,176.57062146892656,26.001734523957655,0.9298798576964381,0.27890545179276977,341,157,357,196,False,/Users/samgreenberg/Documents/Blenny/example_plates/CFU.jpg
