# provenance: 
label,area_px,centroid_y,centroid_x,equivalent_diameter_px,eccentricity,mean_intensity,bbox_y0,bbox_x0,bbox_y1,bbox_x1,touches_edge,source
1,23,32.130434782608695,197.52173913043478,5.4115163798060095,0.8042030177980576,0.2988355669224212,29,195,36,201,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
2,5,35.0,188.0,2.5231325220201604,0.0,0.2867624313725491,34,187,37,190,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
3,515,50.310679611650485,258.59805825242717,25.60699837034026,0.8949186073397593,0.45693341252617553,35,243,65,276,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
4,88,40.30681818181818,381.59090909090907,10.585134856802455,0.7015171914659196,0.4003683645276292,35,376,46,389,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
5,413,46.10411622276029,332.1089588377724,22.93137440223813,0.9405256343011914,0.43605111997341306,36,312,55,351,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
6,265,51.947169811320755,284.0,18.36868202552426,0.8381540640525347,0.45211845209027,41,276,64,294,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
7,220,57.7,167.35,16.73656774376801,0.20827922888973374,0.45209404456327984,50,160,67,176,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
8,79,55.265822784810126,410.11392405063293,10.02925341359355,0.6631542831930596,0.4001677984611567,50,405,61,417,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
9,149,63.442953020134226,324.6442953020134,13.773623058786647,0.8992406730192295,0.4271558020792209,55,316,73,333,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
10,166,68.33734939759036,416.93975903614455,14.538148590038452,0.8503707045747398,0.3954948547129696,59,410,79,426,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
11,185,71.74594594594595,274.02702702702703,15.347615963921077,0.6485885073790308,0.4652870609432962,64,267,80,283,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
12,222,77.15315315315316,313.5,16.812470934731934,0.8040487648164842,0.45281990637696523,66,305,88,322,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
13,201,77.67661691542288,398.13432835820896,15.99753570059363,0.8049652957632287,0.44262945663837666,68,390,89,406,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
14,197,77.43147208121827,185.1522842639594,15.837556323903858,0.32231867827721894,0.456346346172987,70,177,86,194,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
15,54,76.38888888888889,380.6111111111111,8.291859587312052,0.3686941782006208,0.44723959331880897,73,377,81,385,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
16,5,75.0,438.0,2.5231325220201604,0.0,0.2959688627450981,74,437,77,440,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
17,74,80.04054054054055,362.6216216216216,9.706684619910241,0.24848059366771677,0.4074783942766295,76,358,85,368,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
18,82,81.91463414634147,425.4634146341463,10.217907939900583,0.30915873139580086,0.40266475370636057,77,421,88,431,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
19,73,85.79452054794521,386.93150684931504,9.640875829802336,0.3180326273348364,0.4486530915928015,81,382,91,392,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
20,83,86.16867469879519,438.5301204819277,10.280023453913834,0.2727625399974404,0.3964933947554927,81,434,92,444,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
21,5,85.0,450.0,2.5231325220201604,0.0,0.28670745098039213,84,449,87,452,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
22,32,92.15625,425.375,6.383076486422923,0.5344883724417774,0.41939862745098044,89,423,96,429,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
23,8,92.5,457.5,3.1915382432114616,0.816496580927726,0.2922436764705883,91,456,95,460,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
24,90,100.0,444.3222222222222,10.704744696916627,0.3464615899359399,0.3850126797385622,95,440,106,450,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
25,179,103.68715083798882,307.94972067039106,15.09668435477122,0.785742468038975,0.4403694972067038,97,300,110,319,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
26,116,102.64655172413794,393.7844827586207,12.153015559492998,0.7407189043154746,0.42361720419202165,98,385,109,401,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
27,54,102.61111111111111,367.6111111111111,8.291859587312052,0.3686941782006208,0.44913658678286134,99,364,107,372,False,/Users/samgreenberg/Documents/Blenny/example_plates/Petri_Easy.jpg
